Date,06EAP-138,06LAA-138,06RRD-138,07IVY-230,07OMS-230,09LBR-230
6/7/2016,779.0858333,781.6227083,782.4416667,665.04875,655.1691667,825.30625
6/8/2016,817.0716667,819.7075,821.97875,643.3170833,641.7566667,879.4679167
6/9/2016,873.6827083,875.725,874.265,618.2041667,619.8166667,881.9058333
6/10/2016,902.143125,902.7904167,897.8391667,589.5,590.975,982.2233333
6/11/2016,893.3347917,894.6754167,903.1404167,542.4879167,545.69,874.5754167
6/12/2016,784.1858333,794.5745833,791.0391667,510.6429167,498.8854167,876.5329167
6/13/2016,953.1297917,955.3452083,953.4116667,573.8270833,559.7066667,967.95625
6/14/2016,969.24625,972.8691667,967.8416667,561.0604167,565.5383333,977.2833333
6/15/2016,1062.539792,1066.685417,1054.976042,606.7504167,607.7179167,1083.352917
6/16/2016,944.9025,949.310625,938.8814583,635.30875,629.2995833,946.35
6/17/2016,955.6375,962.3245833,945.9502083,705.0991667,702.8670833,943.82125
6/18/2016,997.9216667,1002.482917,1008.06125,693.0225,694.6179167,1040.624167
6/19/2016,751.8654167,761.821875,754.97625,650.2195833,630.64625,808.2366667
6/20/2016,822.9329167,829.6358333,826.8108333,731.49375,710.0175,880.3308333
6/21/2016,955.05375,960.2872917,953.8691667,814.2925,789.17375,892.2066667
6/22/2016,838.8616667,841.1397917,836.2516667,804.94875,775.8079167,786.5908333
6/23/2016,1070.038125,1071.853542,986.5083333,787.6254167,765.45375,837.0616667
6/24/2016,1309.5875,1306.848125,1264.32875,753.4029167,735.2154167,1187.126667
6/25/2016,892.570625,892.6597917,890.0454167,698.56,683.6895833,889.0391667
6/26/2016,617.0766667,624.45,625.10125,688.0683333,666.4479167,685.845
6/27/2016,790.7089583,796.2579167,788.515,730.8620833,711.7,832.1945833
6/28/2016,799.1179167,804.5685417,798.369375,788.9945833,765.7383333,843.3325
6/29/2016,887.918125,892.8258333,885.5277083,819.0804167,798.4608333,878.4441667
6/30/2016,996.6195833,997.9733333,1000.336458,799.8408333,772.3841667,949.8725
7/1/2016,990.1539583,994.1427083,982.5060417,905.6525,877.1329167,978.73375
7/2/2016,981.5933333,984.0977083,971.1314583,862.4270833,835.54875,1029.383333
7/3/2016,834.3035417,844.8522917,832.9025,831.1283333,821.345,916.9275
7/4/2016,934.72625,940.29625,931.8979167,774.6429167,771.4433333,1012.5325
7/5/2016,1021.277083,1027.248333,1007.996458,830.0458333,809.1525,1047.024167
7/6/2016,1055.97,1058.737917,1034.272917,852.5204167,824.4695833,1044.93625
7/7/2016,1069.323333,1071.663542,1041.079792,893.1279167,869.3141667,1053.717917
7/8/2016,1027.37125,1030.132083,1007.435208,845.8425,823.5508333,983.7145833
7/9/2016,936.8039583,939.7883333,919.7035417,804.23125,781.4191667,1065.134583
7/10/2016,801.4422917,813.6304167,801.0125,639.2733333,630.5875,962.09
7/11/2016,971.3258333,974.5454167,962.6439583,659.3558333,651.1475,1066.010833
7/12/2016,977.0022917,980.0479167,972.336875,690.5079167,683.6070833,1041.610833
7/13/2016,1026.639167,1029.445833,1002.781458,764.22125,750.86375,993.50625
7/14/2016,872.0670833,875.3177083,860.8975,774.0108333,757.9645833,883.56375
7/15/2016,945.7820833,948.0854167,922.65125,807.1041667,798.21625,907.3758333
7/16/2016,908.2764583,913.6627083,904.22625,667.3595833,659.9320833,951.32125
7/17/2016,688.054375,697.29875,690.7008333,773.87125,747.31,733.05125
7/18/2016,962.2189583,966.5202083,959.025625,704.9941667,691.65125,843.9283333
7/19/2016,959.6291667,964.4458333,955.2958333,746.3933333,732.50625,896.3516667
7/20/2016,1564.533542,1567.179583,1575.160833,792.0354167,777.2116667,957.3175
7/21/2016,1048.076875,1051.355833,1041.127083,821.3591667,806.0570833,870.7616667
7/22/2016,1783.44875,1787.251458,1748.100625,815.1933333,796.7641667,977.525
7/23/2016,901.5302083,910.8210417,907.7833333,848.5195833,824.6620833,891.9583333
7/24/2016,892.6554167,903.1804167,900.7508333,791.2208333,771.01,963.4704167
7/25/2016,2877.528958,2882.403958,2889.369167,767.8004167,756.7033333,978.0966667
7/26/2016,2252.72125,2258.633542,2270.662917,842.8204167,825.025,1113.722083
7/27/2016,1183.500208,1192.502292,1202.504583,875.30375,852.5041667,1060.60875
7/28/2016,1483.780625,1492.623333,1497.895,890.3025,870.3420833,1237.692083
7/29/2016,1065.4875,1073.133542,1075.909375,918.7091667,892.0729167,1052.412917
7/30/2016,967.4202083,974.1308333,983.719375,826.0620833,807.7058333,1029.830417
7/31/2016,670.579375,676.78375,678.4058333,682.61375,677.6683333,733.7841667
8/1/2016,870.06,880.1497917,885.18375,764.47,753.0583333,833.5404167
8/2/2016,825.4627083,834.1335417,835.9197917,827.67625,813.585,745.1283333
8/3/2016,958.5739583,967.2108333,981.7422917,844.93125,831.4920833,741.6820833
8/4/2016,973.1195833,980.8347917,985.569375,797.7779167,785.6295833,744.2929167
8/5/2016,992.4454167,998.8589583,998.1879167,822.1833333,810.3729167,825.1366667
8/6/2016,922.0189583,928.04875,947.201875,718.2508333,707.0295833,933.46375
8/7/2016,739.66,742.3195833,754.19625,672.22125,660.0891667,780.0554167
8/8/2016,2195.988125,2182.730417,2209.557292,751.0195833,737.2416667,1034.017917
8/9/2016,1625.809375,1639.274167,1658.096042,805.5091667,791.4725,1507.965833
8/10/2016,995.44875,1001.744167,1002.601458,776.5058333,766.0054167,928.8479167
8/11/2016,947.7470833,952.9389583,939.105625,808.70625,794.4341667,901.9279167
8/12/2016,1000.518542,1007.15625,985.9279167,794.7391667,779.3383333,983.1016667
8/13/2016,795.1022917,800.8402083,791.8604167,769.7591667,755.2245833,806.3991667
8/14/2016,582.9525,588.3091667,583.2735417,723.8675,708.49875,598.8804167
8/15/2016,859.1947917,865.263125,867.8170833,816.2179167,801.5058333,850.305
8/16/2016,850.8810417,853.4054167,847.60875,850.6370833,829.5183333,832.9408333
8/17/2016,852.21125,852.2775,859.5054167,884.53,865.3429167,841.78375
8/18/2016,903.0825,903.5352083,921.484375,815.1770833,796.0604167,1016.775
8/19/2016,891.2904167,893.2070833,903.9654167,834.0195833,815.7675,948.0004167
8/20/2016,862.6435417,866.598125,856.0016667,762.92375,747.2266667,946.3695833
8/21/2016,622.6222917,628.5277083,629.008125,679.19625,664.7175,707.4266667
8/22/2016,976.1570833,981.5439583,984.5622917,714.5891667,700.69,936.77875
8/23/2016,997.9470833,1000.992292,980.8458333,801.0541667,786.8,976.7041667
8/24/2016,917.3370833,920.6264583,905.8016667,710.5470833,893.3316667,897.4333333
8/25/2016,1013.346667,1017.140417,1010.517083,750.0654167,743.8241667,982.5775
8/26/2016,1023.318333,1027.839583,1015.400208,774.9558333,767.6233333,1047.970833
8/27/2016,1000.582917,1003.523958,985.2347917,689.1041667,675.4545833,1047.854583
8/28/2016,598.6547917,603.1929167,602.7039583,602.9295833,597.66125,661.6204167
8/29/2016,812.9014583,817.951875,813.60375,724.4783333,712.0379167,905.165
8/30/2016,941.33,945.1097917,938.4472917,758.4016667,747.9058333,1074.875417
8/31/2016,958.4616667,963.2314583,959.6710417,836.8166667,823.7558333,1157.251667
9/1/2016,992.1141667,877.06625,876.19375,822.5675,808.8004167,1145.970417
9/2/2016,852.7595833,857.484375,851.168125,810.8304167,796.9125,1038.832917
9/3/2016,946.7591667,949.92125,945.8216667,703.7041667,696.9741667,1138.64875
9/4/2016,629.3454167,632.74625,638.8502083,572.4729167,572.9983333,795.5933333
9/5/2016,910.7641667,915.5352083,898.4302083,658.8791667,655.4875,1153.919583
9/6/2016,902.605625,906.734375,887.5554167,689.2783333,691.7058333,1040.649167
9/7/2016,981.87875,985.6035417,955.3064583,642.1525,647.82625,1048.685
9/8/2016,955.6308333,962.6075,937.4983333,687.35375,685.2925,1044.008333
9/9/2016,1125.145625,1132.899583,1109.419167,728.7329167,721.0329167,1219.71625
9/10/2016,1179.323542,1186.403125,1158.666042,780.0108333,777.2929167,1282.580417
9/11/2016,684.59125,689.526875,683.3095833,695.0841667,694.7691667,709.945
9/12/2016,976.8135417,981.8864583,974.9575,664.4041667,658.90375,1040.235
9/13/2016,1180.240625,1186.14625,1178.083125,652.5808333,660.33375,1246.815417
9/14/2016,1212.929792,1221.373125,1097.402917,621.1204167,627.40875,1279.0325
9/15/2016,1182.650833,1189.432917,1185.360417,571.2291667,581.3379167,1336.775833
9/16/2016,989.4102083,997.8289583,981.20875,533.9783333,539.91875,1116.148333
9/17/2016,1030.870833,1037.834375,1017.61,495.6470833,501.7433333,1274.862083
9/18/2016,732.3127083,738.6385417,726.3991667,486.3179167,483.3720833,836.6041667
9/19/2016,1009.665,1015.942083,1002.689583,633.62375,639.4441667,1093.176667
9/20/2016,1096.161667,1105.903125,1097.732083,538.70625,554.6145833,1223.738333
9/21/2016,1166.21,1173.128125,1165.424792,559.8754167,573.2425,1232.09375
9/22/2016,1442.874583,1452.172083,1420.632917,605.7491667,617.2329167,1506.246667
9/23/2016,1351.090417,1361.412917,1324.171667,784.1779167,795.18875,1483.359167
9/24/2016,1193.961875,1202.659167,1166.67875,680.8208333,694.5091667,1372.655833
9/25/2016,949.578125,958.03625,933.1302083,550.1816667,560.6375,1136.682083
9/26/2016,1113.000625,1121.842083,1100.01875,698.5920833,710.3783333,1364.393333
9/27/2016,1089.911042,1093.148542,1073.788542,648.7266667,666.40625,1352.20125
9/28/2016,1021.573333,1024.529792,1034.338542,713.0529167,726.605,1162.3175
9/29/2016,1077.935417,1078.560625,1100.095,714.8625,727.2091667,1146.017083
9/30/2016,1082.762083,1085.144375,1101.543958,720.9591667,730.4641667,1139.892917
10/1/2016,839.399375,848.761875,861.0395833,728.3008333,726.96125,1050.142917
10/2/2016,475.9679167,480.6670833,482.9745833,638.2333333,639.1804167,579.15
10/3/2016,905.3502083,915.2558333,923.0189583,647.6283333,655.785,1091.36875
10/4/2016,1216.398333,1231.694375,1245.567917,602.945,608.8704167,1653.835
10/5/2016,1082.28,1095.627708,1108.895625,588.7983333,607.9083333,1415.702083
10/6/2016,1157.445208,1167.43125,1185.667708,595.17125,605.165,1381.43375
10/7/2016,1210.015208,1221.835208,1236.816458,713.8941667,732.9875,1383.804167
10/8/2016,938.3797917,947.75,951.1770833,681.2670833,694.5233333,1077.867917
10/9/2016,618.50375,625.2279167,626.4516667,645.06625,655.555,740.5970833
10/10/2016,1040.695,1049.269167,1066.0625,657.2045833,668.9458333,1139.521667
10/11/2016,1048.785208,1056.850208,1068.640625,667.1966667,677.3420833,1198.819583
10/12/2016,992.5791667,1001.956042,1001.513333,669.6908333,681.7754167,1101.91625
10/13/2016,1022.119792,1037.2125,1038.391667,720.1233333,728.7545833,1164.07
10/14/2016,1082.214167,1089.264375,1086.028125,584.25125,591.85875,1224.687917
10/15/2016,1048.878542,1056.688542,1048.252708,644.7470833,658.6158333,1255.236667
10/16/2016,627.4170833,632.4014583,633.1845833,570.0479167,580.4479167,751.9954167
10/17/2016,1153.421458,1162.397083,1175.303542,640.6066667,666.4266667,1277.26625
10/18/2016,1143.449792,1154.5175,1167.701458,606.335,626.99375,1269.68
10/19/2016,1026.906042,1035.892292,1036.35875,687.9158333,714.8308333,1137.109167
10/20/2016,1071.2525,1080.336875,1078.208958,673.5866667,701.6220833,1250.1375
10/21/2016,814.34875,820.855625,804.8289583,702.68875,716.9045833,943.0391667
10/22/2016,671.8245833,673.7297917,666.9095833,618.56,630.3904167,801.8295833
10/23/2016,506.5970833,509.8470833,502.0997917,642.245,651.3604167,638.3433333
10/24/2016,681.020625,686.1783333,675.6352083,631.7633333,642.5954167,773.8066667
10/25/2016,703.115,708.8125,699.01875,629.51875,642.125,816.8808333
10/26/2016,711.501875,717.021875,705.416875,735.4016667,756.7216667,809.22125
10/27/2016,843.73375,851.6604167,845.4975,636.74625,660.9304167,963.7604167
10/28/2016,951.0239583,961.0675,958.2745833,646.5095833,659.7654167,1045.513333
10/29/2016,525.0575,530.7404167,523.0583333,587.5929167,600.1608333,653.7416667
10/30/2016,402.8468,407.2044,404.8656,477.1,486.6658333,532.584
10/31/2016,886.01125,897.4952083,890.6583333,577.2929167,592.64375,944.0316667
11/1/2016,641.6308333,650.0429167,643.6291667,574.6225,590.05,714.9875
11/2/2016,489.4258333,495.9385417,480.4245833,515.5129167,531.52,546.6725
11/3/2016,653.4016667,662.8766667,646.2310417,495.2933333,509.75375,761.3070833
11/4/2016,647.9145833,656.0375,633.5616667,453.2629167,469.77125,755.8445833
